ListName,Code,Label,Dimension,EmissionScale,QuantityScale,SortOrder,Active,Notes
ImportType,EPA SCEF,EPA SCEF,,,,2,true,US EPA supply chain factors by NAICS.
ImportType,Scope 3 factors,Scope 3 factors,,,,3,true,The distributed factor and item table.
ImportType,Operations actual,Operations actual,,,,4,true,Recorded physicals.
ImportType,Operations budget,Operations budget,,,,5,true,Projected physicals.
ImportType,Lookups,Lookups,,,,6,true,This table.
ImportType,Factors (generic),Factors (generic),,,,7,true,"Any source, reshaped into the Factors columns.  The way in that always works."
Region,Australia,Australia,,,,1,true,National.
Region,NSW,NSW,,,,2,true,Grid.
Region,VIC,VIC,,,,3,true,Grid.
Region,QLD,QLD,,,,4,true,Grid.
Region,SA,SA,,,,5,true,Grid.
Region,WA,WA,,,,6,true,Grid.
Region,TAS,TAS,,,,7,true,Grid.
Region,NT,NT,,,,8,true,Darwin Katherine Interconnected System.
Region,NWIS,NWIS,,,,9,true,North West Interconnected System.
Region,SWIS,SWIS,,,,10,true,South West Interconnected System.
Region,National,National,,,,11,true,The national grid factor.
Region,USA,USA,,,,12,true,The US EPA supply chain factors are published for United States production and say so in their own limitations.
Region,China,China,,,,13,true,
Region,Global,Global,,,,14,true,A world average.
Region,United Kingdom,United Kingdom,,,,15,true,
Rule,Column,Column,,,,1,true,Take a source column as it stands.
Rule,Constant,Constant,,,,2,true,The file does not carry it; the mapping supplies it.
Rule,Pivot,Pivot,,,,3,true,The source puts in rows what the target puts in columns.
Rule,Derive,Derive,,,,4,true,Computed from fields already mapped.
Rule,Ignore,Ignore,,,,5,true,"Present in the file, not wanted."
Status,Active,Active,,,,1,true,
Status,Retired,Retired,,,,2,true,
Tenure,Owned,Owned,,,,1,true,Capitalised.  Produces a Category 2 event.
Tenure,Finance lease,Finance lease,,,,2,true,Capitalised.  Produces a Category 2 event.
Tenure,Rental,Rental,,,,3,true,"An expensed service.  Category 1, not capital."
Unit,kg CO2-e/t,kg CO2-e/t,mass,1,1,1,true,
Unit,t CO2-e per t,t CO2-e per t,mass,1000,1,2,true,A thousand times kg CO2-e/t.  Kept apart because the difference is the error nobody sees.
Unit,kg CO2-e/kg,kg CO2-e/kg,mass,1,0.001,3,true,
Unit,kg CO2-e/kL,kg CO2-e/kL,volume,1,1,4,true,
Unit,kg CO2-e/L,kg CO2-e/L,volume,1,0.001,5,true,
Unit,kg CO2-e/m3,kg CO2-e/m3,volume,1,1,6,true,Gaseous fuels are metered in cubic metres and priced against them.
Unit,kg CO2-e/GJ,kg CO2-e/GJ,energy,1,1,7,true,
Unit,kg CO2-e/kWh,kg CO2-e/kWh,energy,1,0.0036,8,true,One kilowatt hour is 0.0036 GJ.
Unit,kg CO2-e per km,kg CO2-e per km,distance,1,1,9,true,
Unit,kg CO2-e per passenger km,kg CO2-e per passenger km,passenger-distance,1,1,10,true,
Unit,kg/USD,kg/USD,spend-USD,1,1,11,true,Denominated in the dollar year the publication states.
Unit,kg CO2-e per AUD,kg CO2-e per AUD,spend-AUD,1,1,12,true,What a spend factor becomes once converted on import.
Unit,t CO2-e per $1M AUD,t CO2-e per $1M AUD,spend-AUD,1000,1000000,13,true,"The capital bands, banded from the EPA factors."
