Date,Activity,SubActivity,Department,CostCentre,State,UOM,Source,Identifier,Quantity,Description
1/12/2034,Combustion,Diesel,Mining,Crushing - Supplemental,QLD,kL,Budget,Budget|Diesel|Crushing - Supplemental,0.02709015,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Drilling - Production,QLD,kL,Budget,Budget|Diesel|Drilling - Production,196.648515,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Geotechnical,QLD,kL,Budget,Budget|Diesel|Geotechnical,1.519420594,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Grade Control,QLD,kL,Budget,Budget|Diesel|Grade Control,67.77503102,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Hauling,QLD,kL,Budget,Budget|Diesel|Hauling,1398.754199,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Light Vehicles,QLD,kL,Budget,Budget|Diesel|Light Vehicles,13.45420386,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Loading,QLD,kL,Budget,Budget|Diesel|Loading,555.564495,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Management Services,QLD,kL,Budget,Budget|Diesel|Management Services,10.12162876,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Mobile Equipment,QLD,kL,Budget,Budget|Diesel|Mobile Equipment,231.9279085,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Nolans South Crusher,QLD,kL,Budget,Budget|Diesel|Nolans South Crusher,36.18702193,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Operations Administration,QLD,kL,Budget,Budget|Diesel|Operations Administration,0.316167382,Diesel - Stationary
1/12/2034,Combustion,Diesel,Mining,Rehandling,QLD,kL,Budget,Budget|Diesel|Rehandling,563.7383123,Diesel - Stationary
1/12/2034,Combustion,Diesel,Processing,,QLD,kL,Budget,Budget|Diesel|nan,51.94338,Diesel - Stationary
1/12/2034,Combustion,LPG,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|LPG|Projects and Work Orders,0.41268,LPG - Cylinders
1/12/2034,Combustion,LPG,Processing,Gold Room,QLD,kL,Budget,Budget|LPG|Gold Room,114.0843,LPG - Bulk liquid
1/12/2034,Combustion,Lubricants,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Lubricants|Projects and Work Orders,60.34902,Engine oil
1/12/2034,Electricity,Grid Power,Commercial & Administration,Brisbane Office,QLD,kWh,Budget,Budget|Grid Power|Brisbane Office,1555.0,Grid electricity
1/12/2034,Electricity,Grid Power,Commercial & Administration,Crushing - Fixed,QLD,kWh,Budget,Budget|Grid Power|Crushing - Fixed,224525.65,Grid electricity
1/12/2034,Electricity,Grid Power,Commercial & Administration,Milling,QLD,kWh,Budget,Budget|Grid Power|Milling,24783605.12,Grid electricity
1/12/2034,Electricity,Grid Power,Commercial & Administration,Nolans South Crusher,QLD,kWh,Budget,Budget|Grid Power|Nolans South Crusher,467761.79,Grid electricity
1/12/2034,Electricity,Grid Power,Commercial & Administration,Operations Administration,QLD,kWh,Budget,Budget|Grid Power|Operations Administration,26.99,Grid electricity
1/12/2034,Electricity,Grid Power,Commercial & Administration,Residential,QLD,kWh,Budget,Budget|Grid Power|Residential,78668.56999999999,Grid electricity
1/12/2034,Electricity,Grid Power,Commercial & Administration,Suhrs Creek Rd,QLD,kWh,Budget,Budget|Grid Power|Suhrs Creek Rd,57529.1,Grid electricity
1/12/2034,Electricity,Grid Power,Commercial & Administration,Tailings Disposal,QLD,kWh,Budget,Budget|Grid Power|Tailings Disposal,187104.7,Grid electricity
1/12/2034,Milling,Ore Milled,Processing,,QLD,t,Budget,Budget|Ore Milled|nan,668192.0,Ore Milled
1/12/2034,Mining,Ore ROM,Mining,ROM,QLD,t,Budget,Budget|Ore ROM|ROM,1400000.0,BRW Non-Beneficiated Ore - HG
1/12/2034,Reagent,Cyanide,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Cyanide|Leach & Adsorption,1637.8169,Cyanide
1/12/2034,Reagent,Lime,Mining Open Pit,Projects and Work Orders,QLD,t,Budget,Budget|Lime|Projects and Work Orders,0.0571,Lime
1/12/2034,Reagent,Lime,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Lime|Leach & Adsorption,2927.2656,Lime
1/12/2034,Reagent,Soda Ash,Mining,Projects and Work Orders,QLD,kg,Budget,Budget|Soda Ash|Projects and Work Orders,300.5,Soda ash
1/12/2034,Revenue,Gold Recovered,Processing,,QLD,oz,Budget,Budget|Gold Recovered|nan,9925.0,Gold Recovered
1/12/2034,Revenue,Gold Sold,Sales,,QLD,oz,Budget,Budget|Gold Sold|nan,11331.0,Gold Sold
1/12/2034,Wear Item,Grinding Media,Processing,Milling,QLD,t,Budget,Budget|Grinding Media|Milling,1213.426,Grinding Media
1/12/2034,Wear Item,Tyres,Maintenance,Hauling,QLD,Each,Budget,Budget|Tyres|Hauling,1.9049,Tyres
1/12/2034,Wear Item,Tyres,Maintenance,Mobile Equipment,QLD,Each,Budget,Budget|Tyres|Mobile Equipment,2.3811,Tyres
1/12/2034,Wear Item,Tyres,Mining Open Pit,Projects and Work Orders,QLD,Each,Budget,Budget|Tyres|Projects and Work Orders,33.6535,Tyres
1/12/2035,Blasting,Explosives,Mining Open Pit,Blasting,QLD,t,Budget,Budget|Explosives|Blasting,846168.174,Explosives
1/12/2035,Combustion,Acetylene,Mining,Projects and Work Orders,QLD,m3,Budget,Budget|Acetylene|Projects and Work Orders,49.29354,Acetylene gas
1/12/2035,Combustion,Diesel,Mining,Blasting,QLD,kL,Budget,Budget|Diesel|Blasting,12.27737718,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Crushing - Fixed,QLD,kL,Budget,Budget|Diesel|Crushing - Fixed,10.48476203,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Crushing - Supplemental,QLD,kL,Budget,Budget|Diesel|Crushing - Supplemental,0.025113202,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Drilling - Production,QLD,kL,Budget,Budget|Diesel|Drilling - Production,169.7316895,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Geotechnical,QLD,kL,Budget,Budget|Diesel|Geotechnical,1.308699645,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Grade Control,QLD,kL,Budget,Budget|Diesel|Grade Control,58.49221972,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Hauling,QLD,kL,Budget,Budget|Diesel|Hauling,1207.264332,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Light Vehicles,QLD,kL,Budget,Budget|Diesel|Light Vehicles,13.45317091,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Loading,QLD,kL,Budget,Budget|Diesel|Loading,479.5053317,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Management Services,QLD,kL,Budget,Budget|Diesel|Management Services,10.12205096,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Mobile Equipment,QLD,kL,Budget,Budget|Diesel|Mobile Equipment,200.1755923,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Nolans South Crusher,QLD,kL,Budget,Budget|Diesel|Nolans South Crusher,36.18812476,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Operations Administration,QLD,kL,Budget,Budget|Diesel|Operations Administration,0.316778123,Diesel - Stationary
1/12/2035,Combustion,Diesel,Mining,Rehandling,QLD,kL,Budget,Budget|Diesel|Rehandling,486.559001,Diesel - Stationary
1/12/2035,Combustion,Diesel,Processing,,QLD,kL,Budget,Budget|Diesel|nan,51.94338,Diesel - Stationary
1/12/2035,Combustion,LPG,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|LPG|Projects and Work Orders,0.34752,LPG - Cylinders
1/12/2035,Combustion,LPG,Processing,Gold Room,QLD,kL,Budget,Budget|LPG|Gold Room,114.0843,LPG - Bulk liquid
1/12/2035,Combustion,Lubricants,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Lubricants|Projects and Work Orders,52.08456,Engine oil
1/12/2035,Electricity,Grid Power,Commercial & Administration,Brisbane Office,QLD,kWh,Budget,Budget|Grid Power|Brisbane Office,1555.0,Grid electricity
1/12/2035,Electricity,Grid Power,Commercial & Administration,Crushing - Fixed,QLD,kWh,Budget,Budget|Grid Power|Crushing - Fixed,224525.65,Grid electricity
1/12/2035,Electricity,Grid Power,Commercial & Administration,Milling,QLD,kWh,Budget,Budget|Grid Power|Milling,24783605.12,Grid electricity
1/12/2035,Electricity,Grid Power,Commercial & Administration,Nolans South Crusher,QLD,kWh,Budget,Budget|Grid Power|Nolans South Crusher,467761.79,Grid electricity
1/12/2035,Electricity,Grid Power,Commercial & Administration,Operations Administration,QLD,kWh,Budget,Budget|Grid Power|Operations Administration,26.99,Grid electricity
1/12/2035,Electricity,Grid Power,Commercial & Administration,Residential,QLD,kWh,Budget,Budget|Grid Power|Residential,78668.56999999999,Grid electricity
1/12/2035,Electricity,Grid Power,Commercial & Administration,Suhrs Creek Rd,QLD,kWh,Budget,Budget|Grid Power|Suhrs Creek Rd,57529.1,Grid electricity
1/12/2035,Electricity,Grid Power,Commercial & Administration,Tailings Disposal,QLD,kWh,Budget,Budget|Grid Power|Tailings Disposal,187104.7,Grid electricity
